0.10000000	5.10000000
5.10000000	10.10000000
10.10000000	15.10000000
15.10000000	20.10000000
20.10000000	25.10000000
25.10000000	30.10000000
30.10000000	35.10000000
35.10000000	40.10000000
40.10000000	45.10000000
45.10000000	50.10000000
50.10000000	55.10000000
55.10000000	60.10000000
60.10000000	65.10000000
65.10000000	70.10000000
70.10000000	75.10000000
75.10000000	80.10000000
80.10000000	85.10000000
85.10000000	90.10000000
90.10000000	95.10000000
95.10000000	100.10000000
100.10000000	105.10000000
105.10000000	110.10000000
110.10000000	115.10000000
115.10000000	120.10000000
120.10000000	125.10000000
125.10000000	130.10000000
130.10000000	135.10000000
135.10000000	140.10000000
140.10000000	145.10000000
145.10000000	150.10000000
150.10000000	155.10000000
155.10000000	160.10000000
160.10000000	165.10000000
165.10000000	170.10000000
170.10000000	175.10000000
175.10000000	180.10000000
180.10000000	185.10000000
185.10000000	190.10000000
190.10000000	195.10000000
195.10000000	200.10000000
